,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR,scheduleStrength,,
144,41,31.53,47.57,-16.04,22.37,12.90,5.13,1.64,,
5746,27,31.53,49.74,-18.22,17.73,8.61,8.94,1.34,,
4293,6,31.50,8.44,23.06,20.06,9.92,14.65,-1.61,,
5247,21,31.45,33.42,-1.97,23.52,5.54,18.35,0.01,,
7445,35,31.39,31.11,0.28,9.15,18.39,5.30,0.54,,
5727,11,31.38,35.42,-4.05,16.58,12.81,12.65,0.19,,
4400,10,31.37,15.06,16.31,14.24,10.13,10.45,-0.27,,
3737,15,31.32,13.31,18.01,8.91,2.88,4.13,0.00,,
2534,6,31.30,36.41,-5.11,19.44,9.23,8.87,0.77,,
2262,14,31.29,24.08,7.21,18.89,14.08,13.67,-1.33,,
4026,13,31.29,35.98,-4.69,9.82,8.14,4.99,1.08,,
4,19,31.28,24.63,6.65,12.68,12.57,5.31,0.18,,
3344,10,31.27,16.31,14.95,23.41,2.23,19.75,-1.31,,
7762,20,31.20,29.76,1.44,18.89,4.16,15.57,0.88,,
4988,12,31.19,12.29,18.90,17.09,9.82,10.03,-1.40,,
7147,17,31.17,43.18,-12.01,24.32,3.47,15.87,0.77,,
2960,23,31.14,34.78,-3.64,11.72,16.77,4.34,0.70,,
6479,18,31.13,5.93,25.20,19.04,12.94,0.60,0.13,,
1684,17,31.12,17.94,13.18,19.52,9.42,7.63,-1.35,,
114,27,31.12,24.56,6.55,15.99,4.08,9.73,0.41,,
3676,16,31.07,19.09,11.98,13.28,12.83,1.02,-0.73,,
1785,36,31.04,33.31,-2.27,11.74,7.74,2.89,0.14,,
7890,19,31.00,31.05,-0.04,14.50,10.09,8.23,-0.64,,
4131,21,30.96,32.46,-1.50,20.03,7.25,19.86,0.09,,
2079,20,30.94,29.45,1.48,17.56,9.23,13.66,0.52,,
2867,17,30.93,13.21,17.72,19.93,9.02,17.13,0.50,,
4467,29,30.91,42.27,-11.37,23.37,6.06,16.61,-0.25,,
3494,21,30.89,24.40,6.49,25.91,7.51,19.41,0.91,,
7605,8,30.89,31.11,-0.22,13.70,17.27,10.78,-0.42,,
6459,19,30.88,32.98,-2.10,9.90,5.37,3.57,-0.46,,
6544,14,30.87,28.43,2.43,26.60,5.35,19.53,-0.90,,
6690,24,30.86,33.57,-2.71,11.78,5.37,11.34,1.03,,
4198,35,30.84,44.60,-13.76,17.07,7.35,8.18,1.21,,
5559,14,30.81,33.26,-2.45,19.17,11.05,13.81,-0.25,,
3161,22,30.77,34.82,-4.05,19.74,12.78,14.06,-0.82,,
2823,20,30.73,22.10,8.63,15.17,18.26,1.71,-2.28,,
4242,15,30.73,11.43,19.30,13.39,8.50,5.58,-0.18,,
5242,16,30.72,22.89,7.83,19.25,10.34,20.68,-0.34,,
157,11,30.70,23.25,7.46,14.08,12.19,3.54,-1.43,,
2582,7,30.69,12.23,18.46,16.66,14.33,11.85,-1.40,,
3193,23,30.68,40.61,-9.93,19.02,18.09,10.57,-0.19,,
6834,52,30.67,29.45,1.22,17.77,6.91,13.54,0.88,,
2539,18,30.63,33.53,-2.90,19.66,10.20,10.45,-0.04,,
619,15,30.59,34.24,-3.65,17.61,10.74,10.43,0.17,,
3691,48,30.57,46.70,-16.13,25.19,5.96,20.52,0.90,,
3492,22,30.56,16.94,13.62,19.36,15.35,15.52,-0.50,,
2169,54,30.51,41.05,-10.55,13.88,13.40,0.31,-0.72,,
5006,10,30.46,22.46,8.00,19.75,8.63,10.08,-1.89,,
4828,12,30.43,20.67,9.76,18.72,11.97,16.34,-0.51,,
6721,11,30.39,5.54,24.85,13.99,8.16,9.51,-0.77,,
329,30,30.38,37.95,-7.57,15.37,16.98,5.66,-0.69,,
7796,27,30.35,25.46,4.89,14.52,6.59,15.06,0.35,,
135,25,30.29,28.00,2.30,15.65,9.10,11.67,1.30,,
131,17,30.29,21.38,8.91,17.35,9.62,-2.19,0.59,,
5410,34,30.28,28.08,2.20,24.05,7.55,13.58,0.08,,
854,18,30.22,48.12,-17.90,27.05,5.71,22.19,1.39,,
4419,41,30.12,30.35,-0.23,22.03,8.54,17.43,0.46,,
4328,12,30.10,26.05,4.05,5.14,11.44,0.30,-0.03,,
4580,21,30.08,46.58,-16.50,14.96,7.27,9.56,-0.75,,
5688,20,30.07,22.21,7.86,20.98,1.85,10.65,0.97,,
5805,14,29.97,19.81,10.16,16.13,10.52,12.50,-0.95,,
7742,45,29.96,37.71,-7.75,4.38,-0.84,5.34,1.19,,
7085,42,29.93,27.03,2.90,22.61,6.43,18.64,-0.06,,
5866,12,29.92,17.76,12.16,18.87,10.85,15.23,-0.53,,
4598,13,29.87,21.84,8.03,8.09,14.53,4.08,-0.10,,
4512,30,29.86,26.92,2.94,22.05,4.86,7.84,-0.29,,
4296,13,29.84,38.00,-8.17,9.98,12.29,6.54,-0.56,,
4083,16,29.82,29.86,-0.04,19.79,8.52,20.11,0.05,,
6364,24,29.78,19.49,10.29,16.72,14.37,11.15,0.34,,
2852,18,29.75,34.15,-4.40,13.04,17.31,11.50,0.76,,
5612,17,29.74,21.40,8.34,10.58,10.68,5.20,-1.57,,
8114,5,29.74,19.67,10.06,9.75,16.66,5.95,-0.99,,
3298,54,29.73,36.01,-6.28,16.62,10.98,8.52,-0.08,,
6120,29,29.71,26.60,3.12,14.54,3.75,1.31,1.48,,
3555,30,29.69,36.47,-6.79,9.19,10.90,4.82,1.48,,
3309,37,29.68,36.10,-6.42,11.57,15.14,10.07,1.01,,
6081,30,29.68,23.24,6.44,18.56,12.95,12.68,1.32,,
1991,7,29.67,27.40,2.26,15.41,12.51,8.48,0.10,,
2262,13,29.66,33.99,-4.33,16.09,8.16,15.66,0.45,,
2485,38,29.64,37.75,-8.11,16.90,11.68,13.73,-0.89,,
5843,24,29.63,25.46,4.18,10.43,16.04,3.79,0.01,,
1262,6,29.62,16.06,13.56,19.32,11.27,10.07,-2.38,,
2537,19,29.60,25.82,3.79,13.54,12.40,7.62,1.83,,
4241,39,29.52,28.44,1.08,23.01,6.02,19.13,-0.40,,
1241,7,29.51,36.95,-7.44,19.00,12.69,9.71,-1.17,,
3388,16,29.45,16.12,13.34,13.87,11.45,11.81,-0.46,,
4015,9,29.45,22.62,6.83,16.19,11.52,7.80,0.49,,
6315,15,29.45,21.78,7.67,11.25,10.94,11.09,1.50,,
6073,19,29.43,27.67,1.76,23.05,5.10,20.07,0.73,,
2576,17,29.41,2.23,27.19,7.42,6.77,3.43,-1.16,,
4768,22,29.41,16.46,12.95,5.19,15.25,0.91,-0.44,,
74,28,29.40,40.76,-11.37,21.43,4.99,19.26,0.04,,
7769,13,29.38,32.60,-3.22,14.29,9.61,11.04,-2.37,,
1712,25,29.31,33.72,-4.41,18.26,5.16,14.51,-0.20,,
1719,20,29.29,28.16,1.13,15.56,5.87,5.24,-0.67,,
6875,23,29.19,19.40,9.78,15.52,7.12,14.18,-0.82,,
1982,21,29.17,34.96,-5.79,17.23,7.68,11.34,-0.53,,
8393,19,29.16,22.59,6.57,0.74,5.10,1.20,-0.08,,
3834,7,29.14,14.57,14.57,18.12,3.44,13.92,-0.14,,
811,25,29.08,36.24,-7.15,11.06,12.87,3.84,0.92,,
3889,8,29.06,14.57,14.49,24.69,3.11,18.45,-0.52,,
5454,36,29.05,2.19,26.86,9.53,5.15,9.18,-0.18,,
4701,9,28.97,7.44,21.54,17.65,1.91,13.15,-0.36,,
709,23,28.94,33.30,-4.36,11.48,10.46,7.85,0.77,,
5232,27,28.91,20.67,8.24,19.32,6.66,14.00,-0.46,,
3966,33,28.90,23.13,5.78,14.16,15.74,3.99,-0.49,,
3102,21,28.84,28.18,0.66,14.69,17.53,5.67,-0.92,,
8072,21,28.83,27.56,1.27,18.97,6.68,16.24,1.37,,
8058,34,28.80,41.01,-12.21,22.55,6.87,14.90,2.14,,
5697,15,28.79,21.30,7.48,21.00,12.80,17.27,0.75,,
7657,29,28.77,36.88,-8.10,10.22,13.97,11.09,0.72,,
2230,6,28.75,3.57,25.18,12.35,8.28,3.95,-0.99,,
6934,25,28.74,58.37,-29.63,17.21,4.78,13.89,-0.44,,
1939,17,28.69,38.41,-9.72,13.56,6.06,10.04,0.59,,
4715,37,28.68,15.33,13.35,13.28,5.30,9.47,1.38,,
2283,4,28.62,1.26,27.36,18.47,6.45,6.54,-1.38,,
4219,7,28.59,21.19,7.40,26.62,4.38,21.71,-0.17,,
244,20,28.58,28.36,0.22,13.97,3.88,14.13,0.17,,
841,37,28.56,52.80,-24.25,17.76,7.44,6.52,1.35,,
8230,27,28.55,39.63,-11.08,21.38,1.84,13.73,1.19,,
8167,26,28.51,49.47,-20.96,11.92,7.28,10.25,-0.50,,
1723,30,28.47,16.77,11.70,20.93,12.58,20.46,0.07,,
910,26,28.45,40.77,-12.32,16.45,6.70,11.43,1.44,,
4915,7,28.44,14.87,13.57,16.85,13.54,13.06,-1.37,,
3067,37,28.44,40.53,-12.09,17.57,6.13,11.71,0.27,,
1735,16,28.41,22.43,5.98,9.10,13.36,3.38,0.28,,
7671,9,28.40,17.00,11.39,17.88,6.50,16.51,0.21,,
8422,42,28.38,49.46,-21.09,16.29,3.92,15.95,1.14,,
4291,10,28.37,19.15,9.22,15.35,5.82,14.85,-0.60,,
7257,36,28.34,41.78,-13.44,18.80,10.92,10.36,0.89,,
2626,22,28.34,39.58,-11.24,9.77,11.75,5.60,1.13,,
2619,28,28.30,52.01,-23.71,13.58,16.85,10.49,0.71,,
3083,7,28.27,25.33,2.95,21.20,4.10,16.25,-0.93,,
2022,22,28.22,38.85,-10.63,19.00,8.44,14.10,-0.44,,
4572,17,28.20,33.13,-4.93,13.65,7.96,9.80,-1.01,,
6351,29,28.19,41.15,-12.96,8.54,13.14,5.33,0.62,,
7431,24,28.19,27.51,0.68,10.57,13.27,10.73,1.67,,
7851,11,28.18,1.61,26.57,7.61,6.93,7.18,-1.81,,
237,20,28.15,25.75,2.39,18.41,10.60,3.43,0.31,,
4237,21,28.14,44.21,-16.06,14.46,16.01,7.85,0.27,,
6933,8,28.11,20.62,7.49,16.32,9.31,8.15,-1.46,,
6228,3,28.07,11.73,16.34,13.08,16.59,10.17,-0.20,,
6838,10,28.07,-5.94,34.01,17.90,2.12,8.28,-0.57,,
279,47,28.06,45.58,-17.52,27.08,7.85,25.27,1.46,,
781,17,28.06,47.57,-19.51,16.96,7.71,11.05,1.89,,
2503,42,28.06,20.55,7.51,17.88,7.55,11.15,-0.82,,
8094,22,28.01,11.97,16.04,17.61,5.89,19.89,1.00,,
4782,28,28.00,37.01,-9.01,9.03,7.55,9.02,0.03,,
4207,30,28.00,8.29,19.71,12.56,10.20,6.26,-0.06,,
4590,20,27.99,32.93,-4.94,10.77,5.47,5.44,0.30,,
7603,32,27.98,59.13,-31.14,17.24,4.36,10.21,0.08,,
4641,13,27.95,30.30,-2.35,9.51,9.57,3.65,0.09,,
7616,8,27.94,21.50,6.44,13.36,5.26,11.16,-0.20,,
4229,31,27.93,27.08,0.85,21.39,8.79,19.84,-0.25,,
696,29,27.90,57.61,-29.72,9.92,16.79,1.41,0.78,,
7064,26,27.89,34.55,-6.66,6.29,10.39,0.14,0.54,,
7602,14,27.85,34.86,-7.01,18.83,7.77,14.04,-0.80,,
8027,55,27.84,47.01,-19.17,10.77,11.48,8.03,2.28,,
7846,16,27.84,6.18,21.66,19.09,4.01,7.40,-0.66,,
8209,18,27.84,21.80,6.04,13.80,1.73,13.26,0.43,,
108,32,27.83,35.26,-7.43,18.55,11.60,6.85,-0.51,,
3042,47,27.77,31.75,-3.98,17.16,8.02,15.56,2.04,,
5572,14,27.73,16.11,11.61,13.50,8.96,11.31,-0.18,,
8300,22,27.58,27.58,0.00,19.53,2.03,13.41,-0.34,,
1413,13,27.54,35.62,-8.08,20.59,3.72,17.95,-0.28,,
1772,15,27.54,26.62,0.92,13.45,17.00,7.01,-1.23,,
5125,12,27.53,25.56,1.97,15.19,5.15,15.12,-0.71,,
7748,37,27.51,29.63,-2.12,7.30,19.34,3.38,0.07,,
4935,29,27.49,36.93,-9.44,10.81,8.89,8.63,1.87,,
4929,13,27.47,24.84,2.63,18.00,6.74,10.27,-0.06,,
6556,9,27.47,38.58,-11.11,13.22,4.74,7.61,1.43,,
66,19,27.45,31.85,-4.40,16.51,6.67,8.14,0.39,,
7118,20,27.45,24.15,3.29,15.23,7.14,9.01,0.02,,
2993,38,27.40,53.57,-26.17,7.77,17.83,4.62,1.79,,
3692,34,27.38,9.38,18.01,10.09,9.24,4.11,-0.51,,
6168,21,27.38,42.17,-14.80,12.50,14.41,11.82,0.89,,
4514,10,27.37,26.92,0.45,6.52,14.85,8.58,0.33,,
1817,8,27.34,25.15,2.19,12.10,17.21,6.66,-0.04,,
1764,27,27.32,34.85,-7.53,12.81,10.02,4.58,1.45,,
4286,27,27.32,19.60,7.71,18.59,9.90,21.13,1.93,,
6988,20,27.29,10.38,16.90,12.57,7.89,7.57,-0.65,,
5856,18,27.25,32.85,-5.61,14.83,5.63,12.18,-1.12,,
2499,20,27.11,21.84,5.27,11.53,8.28,10.33,-0.57,,
2815,14,27.10,22.18,4.91,16.29,11.92,19.18,-1.44,,
4173,26,27.08,33.31,-6.23,15.75,8.69,12.04,1.46,,
207,12,27.08,24.16,2.91,18.84,5.07,5.72,-1.11,,
5933,12,27.07,21.89,5.18,20.21,9.91,17.74,-0.82,,
7221,32,27.07,28.74,-1.67,9.61,5.79,3.40,0.23,,
190,25,27.04,36.75,-9.71,11.43,12.27,12.12,0.31,,
5472,62,27.01,45.91,-18.90,7.65,10.93,1.27,1.94,,
3974,19,27.01,26.51,0.50,16.94,5.70,6.91,-0.26,,
2642,6,26.98,22.46,4.52,21.49,1.28,17.69,-1.53,,
4239,37,26.87,54.67,-27.80,6.99,10.74,3.19,0.92,,
1360,15,26.85,31.29,-4.44,21.98,7.98,8.52,0.27,,
7845,19,26.83,18.66,8.17,7.61,9.77,3.70,-1.17,,
6905,9,26.81,26.33,0.48,19.15,1.02,18.29,0.99,,
6346,23,26.81,24.27,2.54,10.06,9.84,7.44,0.67,,
423,22,26.77,28.84,-2.07,20.13,5.02,18.42,0.59,,
1915,15,26.76,21.10,5.66,23.55,0.38,16.60,-0.04,,
6751,12,26.76,27.00,-0.24,11.75,8.05,5.41,0.87,,
5067,20,26.73,38.94,-12.21,14.43,5.34,9.09,0.06,,
2915,20,26.72,12.84,13.89,16.22,6.54,15.31,-1.20,,
6878,24,26.67,40.39,-13.73,12.26,6.20,1.84,0.91,,
2177,47,26.66,55.28,-28.63,19.12,7.05,17.81,0.38,,
5826,35,26.60,37.65,-11.05,8.45,14.29,9.37,-0.51,,
8370,16,26.59,23.15,3.43,12.88,0.61,4.69,0.53,,
6843,15,26.58,33.06,-6.48,12.31,12.21,10.82,0.35,,
5491,29,26.56,43.78,-17.22,18.23,4.22,12.47,0.98,,
3755,45,26.50,42.87,-16.37,14.53,9.59,11.87,0.80,,
868,5,26.49,10.35,16.15,6.06,11.57,3.08,-0.84,,
4703,44,26.49,37.70,-11.21,16.11,9.13,13.53,0.29,,
292,20,26.49,42.11,-15.62,11.39,11.92,4.43,0.61,,
4509,8,26.48,24.15,2.34,12.16,7.42,12.53,-0.57,,
695,31,26.46,22.38,4.08,8.91,13.19,1.55,-0.02,,
2729,7,26.44,42.32,-15.87,20.67,6.85,15.48,-0.09,,
8223,11,26.44,21.50,4.94,8.44,13.52,4.34,0.16,,
1255,11,26.39,15.18,11.21,12.84,5.87,12.24,0.19,,
5188,13,26.28,23.82,2.46,15.59,11.17,12.34,-1.38,,
6874,47,26.26,49.41,-23.15,10.73,11.15,9.42,1.01,,
708,14,26.19,42.39,-16.20,13.69,12.30,10.24,0.60,,
8041,23,26.15,27.71,-1.56,19.98,4.45,10.93,0.03,,
2654,41,26.06,46.09,-20.02,12.07,14.42,8.14,-0.46,,
1108,12,26.04,38.94,-12.89,19.82,6.85,12.27,-0.95,,
3777,37,25.95,36.57,-10.62,11.16,2.60,12.22,-0.19,,
5586,49,25.91,56.46,-30.54,12.57,7.25,12.78,1.33,,
4269,43,25.91,29.44,-3.54,13.44,8.25,9.34,-0.55,,
3618,20,25.87,29.44,-3.57,13.79,13.27,8.90,-1.05,,
8150,21,25.83,16.70,9.13,20.73,2.08,10.85,0.91,,
8400,16,25.82,19.94,5.88,12.65,3.97,9.83,0.21,,
3794,35,25.81,20.63,5.19,7.47,8.49,7.20,1.20,,
4656,15,25.81,11.54,14.27,19.28,5.03,15.21,-1.20,,
5951,24,25.80,25.40,0.40,13.37,8.76,5.60,1.45,,
3452,27,25.77,29.71,-3.94,17.54,5.60,14.49,-1.59,,
339,17,25.72,9.81,15.91,14.95,7.80,11.72,-1.22,,
7514,28,25.71,45.64,-19.93,10.38,5.86,6.12,0.02,,
6186,45,25.66,43.23,-17.58,14.91,5.41,12.38,0.17,,
5715,14,25.62,35.02,-9.40,8.21,12.26,1.24,-0.12,,
7869,13,25.61,20.46,5.16,13.66,8.33,10.76,-0.21,,
6181,20,25.60,15.61,9.99,-0.85,19.23,-0.28,-0.87,,
1247,27,25.54,45.79,-20.26,11.72,5.03,9.64,2.42,,
670,44,25.52,38.83,-13.31,17.49,7.19,19.12,1.37,,
6033,18,25.48,14.30,11.17,10.24,12.58,3.39,-0.02,,
7421,33,25.47,32.31,-6.84,6.90,12.05,1.00,0.56,,
6719,11,25.47,17.66,7.81,3.82,11.01,4.30,-0.83,,
3965,55,25.42,52.97,-27.55,22.51,4.92,22.72,0.74,,
4513,8,25.42,36.37,-10.95,11.49,8.38,10.60,0.08,,
3257,20,25.41,21.24,4.17,6.34,11.15,5.74,-0.17,,
6067,18,25.37,25.35,0.01,19.25,7.59,19.08,-0.68,,
4655,50,25.32,41.57,-16.25,18.77,2.39,20.93,1.45,,
7170,14,25.32,15.46,9.86,12.45,12.62,8.78,-0.88,,
7913,20,25.28,25.69,-0.41,15.48,4.72,10.47,-0.53,,
6161,29,25.27,17.93,7.34,15.81,3.80,14.10,0.32,,
2640,18,25.27,27.66,-2.39,9.85,7.30,4.64,-0.35,,
435,11,25.25,18.55,6.69,24.68,3.72,19.44,0.82,,
6013,6,25.24,9.47,15.77,13.51,12.52,6.19,-0.63,,
492,17,25.23,24.31,0.92,17.64,8.86,9.46,-0.08,,
7772,21,25.21,37.18,-11.97,14.22,11.06,12.82,-0.42,,
7908,26,25.16,29.20,-4.03,20.41,5.06,14.20,-1.06,,
5025,34,25.16,48.74,-23.59,24.27,1.52,10.68,-0.31,,
4145,40,25.14,54.21,-29.06,12.66,17.29,7.37,0.62,,
1452,38,25.14,42.38,-17.24,8.92,10.04,2.73,1.76,,
7767,35,25.13,23.73,1.41,12.00,17.56,4.06,-0.33,,
3196,14,25.11,6.12,19.00,14.62,2.30,10.96,-0.42,,
138,13,25.08,30.23,-5.16,13.57,12.84,13.73,-0.71,,
6805,33,25.07,23.26,1.81,14.05,9.05,8.66,0.58,,
5107,40,25.07,35.79,-10.72,9.72,11.50,2.75,-1.09,,
1164,4,25.05,-2.80,27.85,18.78,6.69,15.07,-0.90,,
6500,18,25.05,37.29,-12.24,12.09,4.30,11.62,1.11,,
2013,20,25.04,38.94,-13.90,13.59,8.22,6.72,-0.18,,
2890,25,24.96,28.89,-3.93,14.63,5.07,4.71,-0.07,,
8312,4,24.94,17.57,7.36,21.49,8.96,19.29,-1.73,,
2187,54,24.91,23.06,1.85,11.12,14.93,6.49,-0.11,,
6201,7,24.87,11.00,13.86,7.93,14.50,6.23,-0.86,,
1572,32,24.82,36.08,-11.25,17.15,6.31,9.44,0.88,,
7461,28,24.81,41.23,-16.42,13.66,4.88,-2.91,0.25,,
2549,26,24.76,26.27,-1.51,15.38,3.16,11.07,-0.26,,
63,17,24.75,5.84,18.92,17.59,6.44,14.72,0.30,,
6695,20,24.75,20.65,4.11,9.80,9.67,7.20,-1.18,,
4955,25,24.73,31.37,-6.64,11.83,1.81,10.49,-0.06,,
3098,30,24.73,43.80,-19.07,9.85,6.64,4.79,0.64,,
7877,26,24.64,32.93,-8.29,12.26,4.99,8.03,-0.66,,
7598,27,24.61,24.86,-0.25,11.44,6.44,9.15,-0.78,,
7112,17,24.61,16.63,7.98,19.49,4.42,13.56,-0.59,,
5641,10,24.59,17.82,6.77,6.00,12.54,-1.43,-0.53,,
2136,32,24.56,45.00,-20.44,11.39,10.14,9.70,1.31,,
7816,19,24.53,25.47,-0.95,17.23,2.91,13.87,0.02,,
5588,19,24.53,26.87,-2.35,8.14,10.72,3.41,0.00,,
3947,19,24.52,16.34,8.18,14.40,6.01,11.57,-0.27,,
4918,14,24.49,9.15,15.35,11.76,11.68,6.29,0.24,,
2227,22,24.44,35.26,-10.82,12.35,9.99,12.55,-1.00,,
3096,19,24.37,22.08,2.29,12.10,5.54,6.81,-0.19,,
8179,24,24.36,29.27,-4.90,11.03,6.10,14.30,0.38,,
4516,17,24.33,25.88,-1.55,13.65,11.54,6.04,-0.81,,
2059,16,24.31,36.88,-12.57,12.73,5.16,9.61,-0.02,,
2905,15,24.26,18.38,5.89,14.96,11.40,7.03,-0.86,,
3373,34,24.25,41.68,-17.42,13.90,5.19,8.99,1.51,,
85,15,24.24,16.90,7.33,14.10,10.10,4.86,-1.00,,
7463,9,24.18,23.26,0.92,16.36,6.67,14.96,-0.49,,
1123,28,24.16,20.78,3.38,9.40,8.89,2.61,-1.76,,
5665,42,24.11,32.73,-8.61,10.12,-0.43,9.46,0.36,,
6150,24,24.11,32.77,-8.65,14.15,9.80,14.11,-0.23,,
5726,11,24.10,15.62,8.49,4.47,10.40,0.62,-0.30,,
1123,32,24.10,27.32,-3.22,4.30,6.44,3.15,-0.80,,
5144,34,24.01,30.96,-6.95,18.72,4.80,11.58,-0.03,,
6610,34,23.99,39.43,-15.44,9.17,12.95,5.11,1.49,,
6758,49,23.95,34.11,-10.16,12.18,6.90,5.68,0.45,,
7617,14,23.95,12.33,11.62,16.22,4.35,7.96,0.77,,
3200,29,23.91,38.93,-15.02,11.97,12.60,9.64,0.55,,
1731,25,23.91,33.02,-9.11,6.33,13.78,5.03,0.37,,
6049,18,23.88,27.23,-3.35,9.68,5.66,9.13,-0.69,,
5655,17,23.86,24.55,-0.69,11.88,3.85,9.75,-0.58,,
2180,8,23.85,30.30,-6.45,11.97,6.03,8.21,1.67,,
7197,27,23.83,49.49,-25.66,18.85,2.95,15.13,0.38,,
5141,31,23.81,31.24,-7.43,10.69,10.79,6.05,0.66,,
6620,21,23.81,36.41,-12.61,13.92,3.85,9.59,0.82,,
2039,23,23.75,21.14,2.61,14.11,5.35,15.66,-0.41,,
5514,53,23.75,24.67,-0.92,9.99,3.20,5.04,-0.01,,
6481,11,23.75,40.82,-17.07,15.76,6.62,12.06,0.11,,
3773,17,23.74,29.66,-5.92,19.20,2.73,13.10,-0.07,,
6638,35,23.73,32.51,-8.77,11.04,8.72,10.03,0.95,,
6345,21,23.73,25.69,-1.97,14.08,2.84,11.74,-0.33,,
5653,41,23.73,29.88,-6.16,14.48,10.87,3.93,0.06,,
6691,22,23.71,46.61,-22.90,18.93,2.96,9.13,1.13,,
4584,15,23.68,27.14,-3.47,10.93,2.70,7.45,-0.48,,
3648,22,23.66,13.61,10.05,7.03,11.64,1.52,-1.58,,
5883,35,23.63,38.69,-15.06,16.45,6.25,13.80,1.60,,
8278,33,23.62,56.61,-32.98,15.65,6.84,10.75,2.18,,
894,31,23.60,31.38,-7.78,11.80,9.31,10.80,-0.62,,
7770,17,23.59,12.97,10.62,12.86,6.24,8.94,-1.22,,
7209,8,23.56,12.70,10.86,19.29,5.65,16.21,-0.98,,
3793,14,23.55,23.74,-0.18,11.61,9.41,8.91,-1.12,,
5929,51,23.55,48.29,-24.74,12.76,0.94,8.52,1.21,,
7232,15,23.53,32.55,-9.01,15.31,6.10,13.43,0.01,,
6091,32,23.51,30.65,-7.14,14.60,5.63,12.69,0.16,,
7191,27,23.50,4.93,18.57,6.74,3.64,6.46,-0.83,,
8425,13,23.46,22.72,0.74,14.86,3.02,6.89,-0.46,,
1811,29,23.43,17.19,6.24,18.42,7.23,15.42,-0.18,,
7079,21,23.42,22.50,0.91,22.64,3.09,21.88,-0.10,,
4575,12,23.39,11.43,11.96,12.75,4.38,12.25,-1.91,,
7415,36,23.37,47.09,-23.72,12.76,8.81,14.91,1.04,,
7226,34,23.34,44.78,-21.44,11.12,6.58,3.85,-0.21,,
907,15,23.19,26.59,-3.39,11.33,8.71,2.03,0.80,,
3229,15,23.19,17.85,5.34,4.22,10.74,-0.27,0.23,,
5215,27,23.16,32.50,-9.33,11.25,3.24,7.14,-0.99,,
6867,7,23.15,19.89,3.26,7.44,12.24,6.52,-0.58,,
5089,7,23.13,1.56,21.57,1.53,13.51,-0.81,-0.77,,
7886,18,23.11,24.02,-0.92,5.82,6.59,6.06,0.27,,
3468,41,23.09,65.56,-42.47,14.09,7.20,15.19,1.49,,
7200,16,23.06,25.57,-2.52,18.07,5.37,15.21,0.13,,
5190,8,23.04,10.80,12.24,13.21,10.45,9.22,-1.52,,
6569,32,23.03,31.87,-8.85,8.09,5.51,4.64,0.14,,
5945,4,23.02,7.11,15.91,9.41,7.05,4.58,-2.03,,
7429,31,22.99,49.11,-26.13,14.62,11.06,14.88,0.91,,
5651,23,22.97,26.49,-3.52,18.32,4.47,5.77,-0.52,,
4674,11,22.97,23.37,-0.40,9.39,11.20,2.70,-1.83,,
3274,11,22.97,18.23,4.74,5.22,5.30,3.00,0.12,,
8263,14,22.86,23.66,-0.80,12.85,1.60,11.07,-0.89,,
2095,17,22.85,26.69,-3.84,17.75,3.97,13.26,0.60,,
2501,37,22.66,46.45,-23.79,8.72,10.35,5.79,-0.43,,
3386,10,22.64,28.54,-5.89,9.69,6.72,1.23,1.17,,
4983,12,22.58,23.29,-0.71,16.72,3.74,12.55,-1.55,,
4471,29,22.58,30.25,-7.68,12.34,3.44,11.17,-1.36,,
686,26,22.55,33.98,-11.43,22.60,2.20,16.46,0.29,,
1922,27,22.54,27.03,-4.49,14.31,9.59,7.40,0.37,,
3487,18,22.47,24.33,-1.86,14.86,6.76,11.25,0.68,,
5695,21,22.44,40.23,-17.79,15.59,2.95,13.44,0.28,,
4533,10,22.43,11.64,10.79,17.89,3.28,19.74,-0.95,,
1254,34,22.40,43.31,-20.91,9.87,10.49,5.88,0.60,,
6512,24,22.40,35.36,-12.96,2.65,8.42,0.19,-0.22,,
6321,6,22.40,14.64,7.76,15.25,6.13,10.17,-0.96,,
4748,26,22.38,30.31,-7.93,4.12,6.54,4.28,-0.55,,
7713,16,22.36,16.53,5.83,9.93,6.27,7.58,-1.85,,
5133,27,22.32,30.20,-7.89,8.36,10.76,1.28,0.37,,
3933,31,22.28,2.29,19.99,19.55,5.87,17.62,-0.67,,
101,38,22.28,43.81,-21.54,12.82,3.86,6.86,0.58,,
1099,6,22.26,20.29,1.97,14.80,9.16,12.59,-1.13,,
6548,28,22.24,10.84,11.40,9.08,6.96,7.08,-0.29,,
4795,19,22.22,36.77,-14.54,20.71,5.21,17.36,1.40,,
4343,9,22.15,11.22,10.93,12.14,5.37,0.26,-2.69,,
3277,34,22.14,18.23,3.91,5.44,5.46,2.36,-0.67,,
7135,19,22.08,27.89,-5.81,12.26,5.25,6.06,0.23,,
3593,28,22.01,11.51,10.50,7.24,15.26,0.97,-0.92,,
8399,28,21.99,23.94,-1.95,9.14,6.24,9.52,0.82,,
1943,18,21.98,29.69,-7.71,24.48,2.88,21.14,1.29,,
949,13,21.92,9.03,12.89,5.24,14.84,0.36,-0.74,,
3176,31,21.92,22.87,-0.95,18.29,7.54,5.83,0.74,,
5089,17,21.86,33.89,-12.02,12.35,5.92,9.21,-0.71,,
